1542378987.000000, 1542378987.000000, 1542378987.000000
32.000000, 32.000000, 32.000000
-53,81,-76
79,41,-10
-9,51,-41
-18,40,-40
-8,57,-41
-3,56,-46
3,54,-46
-17,57,-48
-7,48,-39
-17,49,-37
-23,50,-30
-33,49,-33
-35,55,-37
-14,57,-29
-32,55,-38
-22,58,-30
-16,54,-24
-3,51,-24
12,50,-23
3,44,-39
1,42,-40
4,57,-35
1,51,-42
3,51,-44
3,51,-43
3,54,-40
4,53,-41
10,48,-43
7,52,-41
3,52,-44
5,50,-42
0,52,-43
8,50,-36
-3,54,-40
-2,47,-49
8,53,-35
1,52,-41
9,53,-33
-9,58,-45
6,47,-34
-2,51,-41
-7,51,-44
-14,52,-43
-14,48,-44
-12,56,-40
-24,51,-50
-13,51,-42
-23,51,-33
-36,48,-31
-28,50,-20
-31,47,-24
-33,47,-18
-43,47,-21
-46,48,-32
-10,50,1
1,49,3
-86,37,-41
-35,60,-8
-38,50,-4
-43,47,-3
-42,48,6
-45,45,8
-38,50,16
-33,51,29
-24,50,35
-39,49,24
-40,40,26
-39,45,24
-16,47,40
-15,46,35
-16,44,38
-24,45,43
-21,45,42
-17,46,40
-20,45,41
-23,46,40
-18,46,41
-12,47,37
-10,46,42
-20,45,44
-28,49,38
-25,49,39
-26,49,36
-34,52,31
-21,49,30
-29,53,23
-22,53,26
-24,54,25
-24,53,24
-26,51,25
-24,63,23
-22,55,21
-17,58,23
-17,56,21
-26,52,18
-25,54,18
-22,54,19
-26,57,19
-22,52,19
-27,56,17
-27,56,16
-26,55,17
-27,55,19
-26,54,21
-27,56,24
-46,50,25
17,44,51
-19,38,26
-5,38,30
-7,45,29
-33,44,28
-28,49,32
-36,43,39
-40,46,44
-32,43,40
-39,42,45
-38,40,53
-34,39,50
-35,41,48
-37,41,51
-26,36,46
-25,32,52
-22,30,59
-27,30,50
-29,33,49
-19,38,61
-19,40,59
-18,40,57
-12,36,58
-3,30,54
0,28,53
6,22,53
6,21,51
7,17,54
7,15,55
12,14,53
13,13,55
16,12,56
11,8,56
23,15,48
16,5,52
12,12,53
28,18,53
24,19,51
29,19,54
26,20,54
24,16,49
25,16,51
24,15,54
24,14,49
30,14,52
24,13,53
20,13,50
24,14,55
27,13,55
26,13,52
28,13,52
39,14,53
30,13,52
23,22,52
29,15,55
26,13,54
23,8,54
27,13,54
24,-2,56
31,3,34
35,21,48
38,11,49
38,7,52
36,9,52
35,4,50
35,9,50
40,9,48
34,8,45
34,9,47
37,11,49
34,15,46
33,10,43
38,8,50
40,8,50
34,-1,48
16,-2,51
22,9,56
32,19,45
34,19,51
29,14,55
30,20,50
63,1,72
57,-18,62
6,13,42
23,10,47
19,12,43
17,18,50
9,21,48
6,25,39
5,26,38
-6,37,32
-17,42,29
-21,44,42
-25,45,46
-39,45,39
-45,44,43
-36,40,55
-31,37,47
-37,34,54
-29,34,61
-15,31,53
-24,26,48
-29,26,50
-34,30,47
-32,31,45
-27,32,50
-27,33,50
-24,32,49
-28,33,45
-36,37,41
-32,37,43
-27,36,44
-28,35,37
-29,35,37
-27,32,41
-26,31,48
-35,32,52
-31,33,48
-27,33,47
-29,33,45
-31,34,41
-28,35,43
-26,36,48
-27,36,46
-30,36,43
-32,37,42
-33,38,42
-29,36,44
-29,34,44
-28,36,47
-26,36,48
-25,33,46
-23,32,47
-22,32,50
-25,33,50
-30,31,43
-24,34,49
-27,35,47
-26,32,46
-27,34,44
-25,32,46
-24,28,50
-22,33,51
-23,33,45
-20,35,49
-17,29,49
-22,31,49
-29,32,45
-33,36,43
-34,37,43
-36,36,43
-38,35,43
-44,35,41
-32,36,39
-34,37,38
-27,39,42
-26,36,39
-10,32,35
-15,29,37
-48,32,59
-42,38,47
-28,33,41
-35,36,42
-32,36,43
-27,35,45
-30,36,45
-35,36,42
-31,36,43
-28,36,46
-26,35,44
-35,34,44
