1542770543.000000, 1542770543.000000, 1542770543.000000
32.000000, 32.000000, 32.000000
-39,34,-34
-37,35,-34
-39,36,-37
-40,36,-39
-40,36,-38
-40,37,-37
-45,36,-40
-45,37,-41
-44,36,-39
-44,36,-37
-42,36,-36
-40,35,-34
-39,36,-36
-39,37,-36
-40,37,-35
-42,38,-37
-41,37,-36
-43,36,-33
-43,35,-32
-43,35,-30
-45,35,-31
-44,35,-31
-45,36,-32
-46,38,-33
-45,38,-33
-44,38,-33
-44,38,-31
-45,37,-30
-44,37,-30
-43,37,-30
-43,39,-32
-43,40,-34
-44,42,-35
-46,42,-34
-50,38,-28
-51,36,-27
-43,33,-18
-42,33,-18
-47,34,-25
-48,36,-27
-46,38,-29
-43,37,-33
-43,38,-33
-44,40,-35
-42,41,-36
-39,41,-35
-40,41,-34
-40,40,-33
-40,40,-32
-45,38,-32
-48,38,-33
-48,36,-30
-45,36,-28
-43,37,-31
-40,39,-31
-43,42,-37
-48,42,-38
-48,40,-32
-49,33,-19
-45,29,-14
-50,31,-18
-50,33,-24
-46,39,-32
-44,40,-33
-45,45,-38
-45,46,-39
-50,46,-39
-45,42,-32
-54,37,-16
-50,33,-5
-44,33,-3
-49,37,-14
-55,40,-24
-41,45,-23
-36,47,-25
-44,46,-29
-41,48,-27
-47,47,-29
-48,45,-26
-57,40,-15
-51,37,-6
-43,34,2
-45,36,-3
-50,38,-8
-51,41,-12
-49,44,-13
-42,47,-13
-40,45,-17
-35,43,-12
-40,43,-16
-45,45,-31
-44,47,-32
-51,47,-33
-59,46,-35
-47,43,-19
-48,39,-12
-48,33,-1
-51,34,-3
-55,35,-12
-44,41,-23
-40,45,-29
-40,49,-39
-41,51,-36
-52,48,-36
-51,45,-32
-43,36,-9
-50,32,-3
-56,31,0
-49,31,1
-51,34,-12
-51,40,-18
-47,42,-19
-37,47,-24
-39,48,-27
-46,50,-31
-50,51,-33
-54,46,-28
-45,43,-17
-46,36,-10
-52,34,-8
-57,33,-6
-51,33,-5
-46,36,-9
-47,38,-9
-51,41,-14
-44,43,-15
-41,43,-16
-40,48,-24
-43,48,-30
-38,50,-29
-40,49,-30
-52,46,-33
-60,42,-32
-52,38,-18
-50,36,-14
-44,36,-5
-50,37,-10
-54,39,-14
-49,40,-17
-43,41,-13
-47,42,-15
-43,43,-20
-44,44,-23
-44,45,-24
-39,46,-29
-40,48,-30
-50,49,-31
-55,47,-35
-46,45,-29
-41,45,-24
-46,44,-20
-44,37,-4
-49,35,-1
-41,33,5
-47,35,1
-56,41,-11
-58,42,-15
-51,45,-13
-51,45,-13
-47,43,-10
-49,41,-7
-50,37,-15
-45,36,-16
-43,41,-13
-44,45,-21
-42,47,-23
-42,50,-23
-48,51,-26
-48,52,-22
-53,50,-22
-53,46,-21
-53,45,-17
-41,41,-2
-39,38,1
-44,36,9
-55,36,2
-58,40,-8
-52,42,-9
-40,42,-6
-45,42,-6
-44,42,-9
-46,44,-15
-49,45,-17
-50,45,-24
-49,47,-25
-51,45,-27
-54,46,-27
-48,41,-21
-45,40,-13
-47,35,-2
-52,35,-2
-63,36,-12
-57,38,-21
-48,39,-20
-39,42,-15
-41,44,-16
-43,43,-26
-46,44,-24
-53,43,-19
-57,41,-21
-61,38,-20
-58,36,-13
-56,34,-8
-54,34,-9
-47,36,-6
-47,39,-11
-47,41,-12
-41,45,-18
-46,46,-24
-51,48,-23
-55,47,-24
-58,43,-21
-51,40,-13
-57,35,-6
-55,34,-3
-44,36,1
-44,39,0
-52,43,-9
-47,44,-8
-39,46,-5
-44,48,-17
-45,48,-21
-49,48,-21
-53,46,-20
-70,40,-18
-61,36,-13
-52,34,-3
-51,33,-2
-42,34,-3
-43,37,-5
-46,41,-11
-43,44,-12
-45,46,-18
-54,46,-17
-62,45,-17
-65,40,-18
-54,38,-10
-46,34,4
-42,33,6
-47,35,0
-51,37,-6
-47,41,-10
-44,42,-12
-46,49,-20
-49,50,-23
-56,48,-25
-47,43,-11
-49,40,-7
-54,37,-5
-52,37,-4
-50,37,-5
-48,37,-6
-48,39,-7
-51,39,-10
-49,43,-13
-47,45,-12
-50,45,-13
-49,46,-13
-45,45,-12
-43,45,-10
-44,45,-12
-51,45,-20
-51,45,-22
-54,43,-19
-55,42,-15
-50,37,-10
-47,36,-8
-49,38,-12
-49,40,-16
-43,44,-19
-43,45,-19
-48,45,-19
-51,43,-22
-44,46,-21
-40,46,-10
-44,45,-4
-46,45,-27
-42,48,-34
-36,48,-37
-35,45,-27
-41,41,-23
-42,41,-19
-39,42,-18
-41,45,-24
-37,49,-24
-38,51,-24
-41,55,-28
-42,54,-28
-39,50,-25
-36,46,-23
-36,44,-20
-33,42,-22
-37,44,-28
-36,45,-28
-39,47,-32
-41,50,-28
-38,49,-25
-37,47,-23
-36,49,-25
-38,51,-29
-32,51,-24
-38,48,-24
-39,48,-25
-36,46,-23
-38,48,-26
-36,46,-25
-34,46,-23
-33,44,-21
-44,41,-25
-47,41,-31
-38,38,-22
-39,39,-23
-44,41,-35
-45,47,-44
-39,47,-32
-47,43,-31
-48,42,-34
-47,38,-32
-47,38,-32
-47,40,-30
-44,44,-32
-39,42,-30
-40,40,-25
-47,40,-24
-49,39,-28
-41,39,-26
-38,39,-25
-41,40,-29
-44,40,-32
-46,40,-34
-54,36,-27
-57,34,-20
-56,29,-18
-52,29,-15
-43,32,-12
-46,34,-20
-47,43,-29
-42,46,-28
-44,48,-35
-44,46,-37
-46,44,-29
-49,42,-30
-51,38,-25
-48,32,-11
-45,31,-7
-48,32,-13
-51,33,-18
-47,39,-21
-43,40,-20
-49,43,-33
-50,44,-38
-45,43,-32
-47,42,-32
-51,37,-32
-52,34,-26
-47,30,-13
-51,29,-14
-52,31,-19
-50,36,-25
-45,37,-24
-38,42,-27
-43,44,-35
-45,44,-39
-43,43,-37
-49,40,-34
-51,38,-31
-48,32,-17
-35,31,-3
-45,30,-10
-62,39,-27
-51,39,-23
-43,40,-28
-43,41,-35
-46,41,-39
-47,41,-36
-48,36,-31
-41,34,-25
-46,32,-20
-47,31,-20
-53,34,-25
-53,36,-28
-42,37,-27
-40,37,-28
-40,42,-34
-41,46,-41
-43,45,-42
-42,42,-36
-38,39,-32
-41,34,-29
-47,33,-28
-57,31,-24
-56,30,-23
-49,32,-22
-50,33,-24
-48,36,-29
-44,37,-26
-37,39,-29
-42,42,-43
-39,43,-41
-43,41,-38
-49,40,-39
-53,34,-33
-46,34,-26
-41,30,-13
-47,31,-17
-51,35,-27
-49,37,-29
-45,40,-30
-41,41,-31
-40,43,-41
-45,41,-38
-49,39,-36
-44,35,-23
-45,33,-21
-46,32,-19
-50,33,-22
-54,36,-30
-50,38,-30
-44,38,-28
-45,38,-28
-43,38,-27
-45,38,-28
-49,37,-28
-49,36,-27
-48,36,-23
-51,36,-25
-50,37,-26
-43,39,-26
-41,41,-25
-44,41,-32
-44,43,-32
-45,42,-33
-46,39,-31
-51,34,-25
-52,33,-23
-46,31,-16
-44,31,-17
-51,35,-25
-49,37,-27
-44,38,-27
-41,40,-30
-43,42,-34
-45,43,-38
-44,42,-38
-40,40,-33
-41,38,-32
-43,36,-29
-44,36,-28
-48,34,-30
-48,35,-31
-49,35,-28
-49,34,-27
-44,35,-29
-47,36,-29
-46,36,-31
-43,37,-32
-40,38,-31
-38,40,-33
-42,41,-38
-44,42,-39
-43,41,-37
-43,39,-37
-44,37,-35
-45,33,-29
-48,32,-27
-42,32,-22
-43,33,-27
-46,35,-33
-48,36,-36
-44,36,-35
-40,36,-32
-42,36,-33
-40,35,-36
-39,36,-39
-37,38,-40
-37,39,-40
-38,39,-38
-40,38,-39
-43,36,-40
-44,35,-37
-44,34,-36
-44,35,-36
-43,35,-34
-46,35,-35
-46,34,-35
-44,34,-33
-44,34,-33
-45,34,-34
-46,35,-35
-42,34,-31
-44,34,-35
-43,35,-35
-40,34,-31
-46,35,-34
-46,37,-37
-43,37,-36
-41,36,-32
-41,35,-31
-43,34,-30
-44,34,-31
-45,35,-32
-47,35,-32
-48,35,-31
-48,34,-30
-49,34,-31
-49,34,-31
-49,34,-30
-47,34,-30
-47,34,-30
-47,34,-31
-47,34,-31
-47,34,-31
-47,34,-30
-47,34,-30
-47,34,-31
-47,34,-30
-47,34,-29
-49,33,-28
-49,33,-29
-49,34,-30
-49,34,-28
-48,34,-29
-48,34,-29
-49,34,-29
-49,34,-29
-49,34,-29
-49,33,-28
-49,34,-28
-49,34,-30
-51,34,-31
-48,33,-28
-48,33,-27
-49,32,-27
-51,33,-27
-50,33,-27
-48,33,-24
-50,33,-25
-51,33,-26
-51,33,-25
-52,33,-25
-53,33,-26
-51,33,-26
-52,33,-26
-52,34,-27
-53,33,-25
-52,35,-21
-51,37,-20
-53,42,-36
-65,48,-54
-61,50,-57
-40,45,-44
-27,45,-36
-17,42,-28
-19,41,-23
-16,41,-15
-19,44,-17
-27,46,-16
-28,47,-14
-25,50,-14
-31,52,-14
-36,54,-22
-31,56,-22
-30,55,-20
-34,54,-21
-34,53,-19
-33,53,-20
-34,54,-21
-33,54,-19
-33,54,-19
-33,53,-19
-33,53,-20
-33,52,-20
-32,52,-20
-34,52,-20
-33,53,-20
-34,53,-20
-33,53,-21
-33,53,-20
-33,52,-20
-34,51,-21
-33,51,-21
-31,52,-20
-35,52,-20
-36,52,-21
-38,52,-22
-37,52,-21
-36,52,-21
-36,52,-21
-35,51,-21
-36,51,-21
-36,51,-21
-35,51,-21
-34,50,-20
-37,50,-21
-38,50,-22
-32,48,-12
-40,49,-18
-36,49,-21
-29,47,-19
-37,46,-26
-38,46,-29
-38,46,-27
-37,46,-26
-35,47,-27
-39,47,-29
-38,46,-28
-37,44,-26
-40,45,-28
-43,44,-30
-44,44,-29
